,x,y,xG,result,team
0,0.7719999694824219,0.46700000762939453,0.020873909816145897,MissedShots,Fulham
1,0.8930000305175781,0.3060000038146973,0.04911304637789726,SavedShot,Fulham
2,0.93,0.6719999694824219,0.316528856754303,SavedShot,Fulham
3,0.815,0.6270000076293946,0.036229103803634644,SavedShot,Fulham
4,0.86,0.355,0.23231318593025208,Goal,Fulham
5,0.8819999694824219,0.3609999847412109,0.015041506849229336,MissedShots,Fulham
6,0.7730000305175782,0.5129999923706055,0.0437021479010582,MissedShots,Fulham
7,0.970999984741211,0.4520000076293945,0.6981164813041687,SavedShot,Fulham
8,0.8180000305175781,0.30100000381469727,0.0429905503988266,BlockedShot,Fulham
9,0.9290000152587891,0.5570000076293945,0.3006933331489563,MissedShots,Fulham
10,0.78,0.43099998474121093,0.033653054386377335,SavedShot,Liverpool
11,0.9219999694824219,0.5579999923706055,0.2307126820087433,MissedShots,Liverpool
12,0.899000015258789,0.41200000762939454,0.10041696578264236,MissedShots,Liverpool
13,0.705999984741211,0.649000015258789,0.010963572189211845,BlockedShot,Liverpool
14,0.7330000305175781,0.6129999923706054,0.017048606649041176,SavedShot,Liverpool
15,0.769000015258789,0.715999984741211,0.017250996083021164,SavedShot,Liverpool
16,0.8980000305175782,0.5879999923706055,0.35483938455581665,SavedShot,Liverpool
17,0.845,0.524000015258789,0.06955473870038986,BlockedShot,Liverpool
18,0.8619999694824219,0.355,0.048897113651037216,BlockedShot,Liverpool
19,0.7730000305175782,0.5659999847412109,0.08143161982297897,BlockedShot,Liverpool
20,0.885,0.5,0.7611688375473022,Goal,Liverpool
21,0.845,0.47200000762939454,0.09850969165563583,SavedShot,Liverpool
